"tropeid","tropename"
"tr00124","Gloved Fist of Doom"
"tr00125","Gonk"
"tr00126","Gratuitous Japanese"
"tr00127","Heroic Sacrifice"
"tr00128","Hide Your Children"
"tr00129","I Have You Now, My Pretty"
"tr00130","Idiot Ball"
"tr00131","Idle Rich"
"tr00132","Industrial Ghetto"
"tr00133","Industrialized Evil"
"tr00134","Jerkass Realization"
"tr00135","Job-Stealing Robot"
"tr00136","Justified Trope"
"tr00137","Keep Circulating the Tapes"
"tr00138","Kill It with Water"
"tr00139","Killer Robot"
"tr00140","Lack of Empathy"
"tr00141","Laser-Guided Karma"
"tr00142","Layered Metropolis"
"tr00143","Leitmotif"
"tr00144","Locked into Strangeness"
"tr00145","LostEpisode"
"tr00146","Loudness War"
"tr00147","Love Makes You Crazy"
"tr00148","Love Makes You Evil"
"tr00149","Ludd Was Right"
"tr00150","Ludicrous Precision"
"tr00151","Mad Scientist"
"tr00152","Mad Scientist Laboratory"
"tr00153","Made of Explodium"
"tr00154","MadonnaWhore Complex"
"tr00155","Magic from Technology"
"tr00156","Magic Versus Science"
"tr00157","Magitek"
"tr00158","Male Gaze"
"tr00159","Meat Sack Robot"
"tr00160","Mega City"
"tr00161","Mega-Corp"
"tr00162","Mickey Mousing"
"tr00163","Milking the Giant Cow"
"tr00164","Mistaken Identity"
"tr00165","Mobile Maze"
"tr00166","MoneySlap"
"tr00167","Monologuing"
"tr00168","Morality Chain"
"tr00169","Morally Ambiguous Doctorate"
"tr00170","Morlocks"
"tr00171","Necromantic"
"tr00172","NeonCity"
"tr00173","Nightmare Sequence"
"tr00174","Nightmarish Factory"
"tr00175","No Name Given"
"tr00176","No OSHA Compliance"
"tr00177","Non-Indicative Name"
"tr00178","NotHerself"
"tr00179","Not Making This Up Disclaimer"
"tr00180","Not What It Looks Like"
"tr00181","Older Than They Think"
"tr00182","Omnicidal Maniac"
"tr00183","OnlyKnownByTheirNickname"
"tr00184","Out-of-Character Alert"
"tr00185","Overclocking Attack"
"tr00186","Overly Narrow Superlative"
"tr00187","Paper Tiger"
"tr00188","Played for Drama"
"tr00189","Prayer Pose"
"tr00190","Psychotic Smirk"
"tr00191","Raygun Gothic"
"tr00192","Red Light District"
"tr00193","Red Right Hand"
"tr00194","Reluctant Mad Scientist"
"tr00195","Replacement Goldfish"
"tr00196","RidiculouslyHumanRobot"
"tr00197","Ridiculously Human Robots"
"tr00198","RingsOfActivation"
"tr00199","Robot Girl"
"tr00200","Robot Me"
"tr00201","Rooftop Confrontation"
"tr00202","Rule of Symbolism"
"tr00203","Sarcasm Mode"
"tr00204","Schizo Tech"
"tr00205","Seinfeld Is Unfunny"
"tr00206","Sensible Heroes, Skimpy Villains"
"tr00207","Seven Deadly Sins"
"tr00208","Shaming the Mob"
"tr00209","Shout-Out"
"tr00210","Skyscraper City"
"tr00211","Smash Cut"
"tr00212","Soundtrack Dissonance"
"tr00213","Spiritual Successor"
"tr00214","Spot the Imposter"
"tr00215","Springtime for Hitler"
"tr00216","Standard Snippet"
"tr00217","SteamAndFlameFactory"
"tr00218","Steam Punk"
"tr00219","Stupid Jetpack Hitler"
"tr00220","SuddenSoundtrackStop"
"tr00221","Suggested by..."
"tr00222","Take a Third Option"
"tr00223","Taking the Bullet"
"tr00224","Team Mom"
"tr00225","Technicolor Science"
"tr00226","The80s"
"tr00227","The Big Guy"
"tr00228","The Constant"
"tr00229","TheCorruptor"
"tr00230","The Film of the Book"
"tr00231","The Grim Reaper"
"tr00232","The Morlocks"
"tr00233","The Reveal"
"tr00234","The Revolution Will Not Be Civilized"
"tr00235","TheRoaring20s"
"tr00236","The Tower"
"tr00237","Thousand-Yard Stare"
"tr00238","Thunderbolts and Lightning"
"tr00239","TorchesAndPitchforks"
"tr00240","Tower of Babel"
"tr00241","Trope Codifier"
"tr00242","TropeMaker"
"tr00243","Troperiffic"
"tr00244","Truth in Television"
"tr00245","Two Guys and a Girl"
"tr00246","Unbuilt Trope"
"tr00247","Underground City"
"tr00248","Understatement"
"tr00249","Undying Loyalty"
"tr00250","Up, Up and Away!"
"tr00251","Ur-Example"
"tr00252","Urban Segregation"
"tr00253","Video Phone"
"tr00254","Villainous Breakdown"
"tr00255","We Will All Fly in the Future"
"tr00256","WeWillUseManualLabourInTheFuture"
"tr00257","Wham Line"
"tr00258","WhatHappenedToTheMouse"
"tr00259","While Rome Burns"
"tr00260","WhyDontYouJustShootHim"
"tr00261","Witch Hunt"
"tr00262","Wolverine Publicity"
"tr00263","World of Ham"
"tr00264","Yes-Man"
"tr00265","You Are Number 6"
"tr00266","You Can Leave Your Hat On"
"tr00267","Zeerust"
"tr00268","Zig-Zagging Trope"
"tr00269","Accidental Pervert"
"tr00270","Amusing Injuries"
"tr00271","Artistic License  Sports"
"tr00272","As Himself"
"tr00273","Automaton Horses"
"tr00274","Big Applesauce"
"tr00275","Breaking the Fourth Wall"
"tr00276","Chinese Launderer"
"tr00277","Contrived Coincidence"
"tr00278","Corrupt Corporate Executive"
"tr00279","Doomed New Clothes"
"tr00280","Driver Faces Passenger"
"tr00281","Drives Like Crazy"
"tr00282","Driving a Desk"
"tr00283","End of an Age"
"tr00284","Fake Rabies"
"tr00285","Feet-First Introduction"
"tr00286","Flipping the Bird"
"tr00287","From Stray to Pet"
"tr00288","Guile Hero"
"tr00289","Heroic Dog"
"tr00290","Indy Ploy"
"tr00291","Loyal Animal Companion"
"tr00292","Percussive Maintenance"
"tr00293","Scenery Porn"
"tr00294","Shown Their Work"
"tr00295","The Cameo"
"tr00296","The Danza"
"tr00297","Abhorrent Admirer"
"tr00298","Distressed Dude"
"tr00299","Due to the Dead"
"tr00300","Foreshadowing"
"tr00301","Funetik Aksent"
"tr00302","Kubrick Stare"
"tr00303","Never Learned to Read"
"tr00304","Non-Action Guy"
"tr00305","Real Life"
"tr00306","Regional Riff"
"tr00307","Scare Quotes"
"tr00308","Sex Slave"
"tr00309","The Savage South"
"tr00310","Tomboy"
"tr00311","A Storm Is Coming"
"tr00312","Actually Pretty Funny"
"tr00313","Archetypal Character"
"tr00314","Bedsheet Ghost"
"tr00315","Betty and Veronica"
"tr00316","Big Bad"
"tr00317","Chekhov's Boomerang"
"tr00318","Chroma Key"
"tr00319","City Mouse"
"tr00320","Comforting Comforter"
"tr00321","Down on the Farm"
"tr00322","Dramatic Slip"
"tr00323","Evil-Detecting Dog"
"tr00324","Fascinating Eyebrow"
"tr00325","For Doom the Bell Tolls"
"tr00326","Forced Perspective"
"tr00327","Fun with Subtitles"
"tr00328","Good Smoking, Evil Smoking"
"tr00329","HairOfGoldHeartOfGold"
"tr00330","HeCleansUpNicely"
"tr00331","Heavy Sleeper"
"tr00332","HeroicBSOD"
"tr00333","Hostile Weather"
"tr00334","Important Haircut"
"tr00335","Letting Her Hair Down"
"tr00336","Light Feminine and Dark Feminine"
"tr00337","Make It Look Like an Accident"
"tr00338","Messy Pig"
"tr00339","Mood Whiplash"
"tr00340","Murder the Hypotenuse"
"tr00341","My God, What Have I Done?"
"tr00342","Nameless Narrative"
"tr00343","No More for Me"
"tr00344","Public Domain Feature Films"
"tr00345","Silence Is Golden"
"tr00346","SparedByTheAdaptation"
"tr00347","The City"
"tr00348","The Flapper"
"tr00349","The Mistress"
"tr00350","The Vamp"
"tr00351","Thunder Equals Downpour"
"tr00352","Unstoppable Rage"
"tr00353","When It Rains, It Pours"
"tr00354","Absence Makes the Heart Go Yonder"
"tr00355","An Arm and a Leg"
"tr00356","Chekhov's Skill"
"tr00357","Earn Your Happy Ending"
"tr00358","Everyone Looks Sexier If French"
"tr00359","Gentlemen Rankers"
"tr00360","Insignia Rip-Off Ritual"
"tr00361","Literal Ass-Kicking"
"tr00362","Low-Speed Chase"
"tr00363","Match Cut"
"tr00364","Meadow Run"
"tr00365","Meet Cute"
"tr00366","Montage"
"tr00367","Obsessive-Compulsive Barkeeping"
"tr00368","Outdoor Bath Peeping"
"tr00369","Patriotic Fervor"
"tr00370","Plunder"
"tr00371","Precision F-Strike"
"tr00372","Shell-Shocked Veteran"
"tr00373","SignificantBackgroundEvent"
"tr00374","Splash of Color"
"tr00375","Stranger in a Familiar Land"
"tr00376","Time Skip"
"tr00377","Train-Station Goodbye"
"tr00378","Two-Act Structure"
"tr00379","War Is Hell"
"tr00380","Adaptational Villainy"
"tr00381","All in the Eyes"
"tr00382","All Men Are Perverts"
"tr00383","Anachronism Stew"
"tr00384","Ax-Crazy"
"tr00385","Bad People Abuse Animals"
"tr00386","Big Ol' Unibrow"
"tr00387","Bookcase Passage"
"tr00388","Childhood Brain Damage"
"tr00389","Closed Circle"
"tr00390","Color Wash"
"tr00391","Creepy Housekeeper"
"tr00392","Cut Phone Lines"
"tr00393","Death by Adaptation"
"tr00394","DeceasedEstateConflict"
"tr00395","Dramatic Irony"
"tr00396","Dramatic Unmask"
"tr00397","Extreme Close-Up"
"tr00398","Face Framed in Shadow"
"tr00399","FaintInShock"
"tr00400","Fanservice"
"tr00401","Femme Fatalons"
"tr00402","Gender Flip"
"tr00403","Hand of Death"
"tr00404","Haunted House"
"tr00405","His Name Is..."
"tr00406","Inadvertent Entrance Cue"
"tr00407","Instant Death Bullet"
"tr00408","Leaning on the Fourth Wall"
"tr00409","Madness Montage"
"tr00410","Mammy"
"tr00411","Narrative Beats"
"tr00412","Nerd Glasses"
"tr00413","Old, Dark House"
"tr00414","On One Condition"
"tr00415","Peek-a-Boo Corpse"
"tr00416","Portrait Painting Peephole"
"tr00417","Race Lift"
"tr00418","Scooby-Doo Hoax"
"tr00419","Secret Path"
"tr00420","Symbol Swearing"
"tr00421","The Big Easy"
"tr00422","The Glasses Come Off"
"tr00423","The Noun and the Noun"
"tr00424","The Shrink"
"tr00425","Took a Level in Badass"
"tr00426","Video Wills"
"tr00427","When the Clock Strikes Twelve"
"tr00428","All Part of the Show"
"tr00429","Bad Bad Acting"
"tr00430","Banana Peel"
"tr00431","Bunny-Ears Lawyer"
"tr00432","Captain Morgan Pose"
"tr00433","Circus Episode"
"tr00434","Denied Food as Punishment"
"tr00435","Did Not Get the Girl"
"tr00436","Dish Dash"
"tr00437","Do It Yourself Theme Tune"
"tr00438","Do You Want to Haggle?"
"tr00439","Emergency Impersonation"
"tr00440","Exact Eavesdropping"
"tr00441","Fortune Teller"
"tr00442","Green-Eyed Monster"
"tr00443","Hall of Mirrors"
"tr00444","Happy Dance"
"tr00445","Hastily Hidden MacGuffin"
"tr00446","Hilarity Ensues"
"tr00447","I Want My Beloved to Be Happy"
"tr00448","Indulgent Fantasy Segue"
"tr00449","Iris Out"
"tr00450","Just Friends"
"tr00451","Lap Pillow"
"tr00452","Look Behind You"
"tr00453","Love at First Sight"
"tr00454","Mischief Making Monkey"
"tr00455","Nobody Here but Us Statues"
"tr00456","Off-into-the-Distance Ending"
"tr00457","Out of the Frying Pan"
"tr00458","Prophetic Fallacy"
"tr00459","Running Gag"
"tr00460","Schmuck Bait"
"tr00461","TapOnTheHead"
"tr00462","Tempting Fate"
"tr00463","The Runaway"
"tr00464","The Tramp"
"tr00465","Tightrope Walking"
"tr00466","Troubled Production"
"tr00467","Water Wake-up"
"tr00468","Wicked Stepmother"
"tr00469","Would Hit a Girl"
"tr00470","Cold-Blooded Torture"
"tr00471","Conflict Ball"
"tr00472","Father, I Don't Want to Fight"
"tr00473","For the Evulz"
"tr00474","Kneel Before Zod"
"tr00475","Love Triangle"
"tr00476","Proud Warrior Race Guy"
"tr00477","That Russian Squat Dance"
"tr00478","The Cavalry"
"tr00479","The Cavalry Arrives Late"
"tr00480","Vodka Drunkenski"
"tr00481","WellDoneSonGuy"
"tr00482","Alone in a Crowd"
"tr00483","Babies Make Everything Better"
"tr00484","Brilliant, but Lazy"
"tr00485","Busman's Holiday"
"tr00486","Childhood Friends"
"tr00487","Death of a Child"
"tr00488","DingyTrainsideApartment"
"tr00489","Disappeared Dad"
"tr00490","Exploding Calendar"
"tr00491","Fat Best Friend"
"tr00492","GriefInducedSplit"
"tr00493","Happily Failed Suicide"
"tr00494","Happy Ending"
"tr00495","I Just Want to Be Special"
"tr00496","Ironic Echo"
"tr00497","Ironic Nickname"
"tr00498","Non-Ironic Clown"
"tr00499","Obnoxious In-Laws"
"tr00500","Panicky Expectant Father"
"tr00501","Potty Dance"
"tr00502","Significant Birth Date"
"tr00503","Skirts and Ladders"
"tr00504","SlidingScaleOfIdealismVersusCynicism"
"tr00505","The Everyman"
"tr00506","The Great Depression"
"tr00507","The Oner"
"tr00508","The World Mocks Your Loss"
"tr00509","Toilet Seat Divorce"
"tr00510","Token Minority"
"tr00511","TunnelOfLove"
"tr00512","White Collar Worker"
"tr00513","A Minor Kidroduction"
"tr00514","Adaptational Alternate Ending"
"tr00515","AdaptationalNameChange"
"tr00516","Adapted Out"
"tr00517","Artifact Title"
"tr00518","Beard of Sorrow"
"tr00519","Blackface"
"tr00520","Dies Wide Open"
"tr00521","DyingReconciliation"
"tr00522","Fantasy-Forbidding Father"
"tr00523","Friend or Idol Decision"
"tr00524","Have a Gay Old Time"
"tr00525","Heritage Disconnect"
"tr00526","Hong Kong Dub"
"tr00527","I Have No Son!"
"tr00528","Jazz"
"tr00529","Jive Turkey"
"tr00530","Meaningful Rename"
"tr00531","Mythology Gag"
"tr00532","Naturalized Name"
"tr00533","Non-Actor Vehicle"
"tr00534","Prelap"
"tr00535","Reality Is Unrealistic"
"tr00536","Redemption Equals Death"
"tr00537","Revision"
"tr00538","Surprisingly Happy Ending"
"tr00539","Values Dissonance"
"tr00540","Action Prologue"
"tr00541","ArtisticLicenseLaw"
"tr00542","Battle in the Rain"
"tr00543","Between My Legs"
"tr00544","...But He Sounds Handsome"
"tr00545","Cardboard Prison"
"tr00546","City with No Name"
"tr00547","Corrupt Politician"
"tr00548","Deadpan Snarker"
"tr00549","Evil Parents Want Good Kids"
"tr00550","Fourth Date Marriage"
"tr00551","Friendly Enemy"
"tr00552","Gold Digger"
"tr00553","He Knows Too Much"
"tr00554","HeManWomanHater"
"tr00555","HeelFaceTurn"
"tr00556","He's Dead, Jim"
"tr00557","Homoerotic Subtext"
"tr00558","Hypocritical Humor"
"tr00559","Improbable Aiming Skills"
"tr00560","In the Back"
"tr00561","Last-Name Basis"
"tr00562","Mob War"
"tr00563","No Communities Were Harmed"
"tr00564","Reassigned to Antarctica"
"tr00565","Refuge in Audacity"
"tr00566","Screw the Money, I Have Rules!"
"tr00567","Sitting Sexy on a Piano"
"tr00568","The Chanteuse"
"tr00569","The Faceless"
"tr00570","Those Two Guys"
"tr00571","Trope Makers"
"tr00572","Arranged Marriage"
"tr00573","Description Cut"
"tr00574","Gilded Cage"
"tr00575","Gray Rain of Depression"
"tr00576","Lonely Rich Kid"
"tr00577","Private Tutor"
"tr00578","Ruritania"
"tr00579","Smoking Is Cool"
"tr00580","The Chains of Commanding"
"tr00581","Vindicated by History"
"tr00582","Arabian Nights Days"
"tr00583","Bar Brawl"
"tr00584","Bedlah Babe"
"tr00585","Bilingual Backfire"
"tr00586","POW Camp"
"tr00587","Pass the Popcorn"
"tr00588","Pun-Based Title"
"tr00589","Rebellious Princess"
"tr00590","Vitriolic Best Buds"
"tr00591","All Women Are Lustful"
"tr00592","Attempted Rape"
"tr00593","Beauty, Brains and Brawn"
"tr00594","Big Damn Heroes"
"tr00595","Blind Alley"
"tr00596","CantGetAwayWithNuthin"
"tr00597","Cat Scare"
"tr00598","Cleaning Up Romantic Loose Ends"
"tr00599","Cloudcuckoolander"
"tr00600","Costume Porn"
"tr00601","Crazy Jealous Guy"
"tr00602","Cute Kitten"
"tr00603","Damn, It Feels Good to Be a Gangster!"
"tr00604","Death of the Hypotenuse"
"tr00605","Even Evil Has Standards"
"tr00606","Expository Hairstyle Change"
"tr00607","Extra! Extra! Read All About It!"
"tr00608","Fluffy Fashion Feathers"
"tr00609","Frame-Up"
"tr00610","Hair-Trigger Temper"
"tr00611","Held Gaze"
"tr00612","HowTheyTreatTheHelp"
"tr00613","Imagine Spot"
"tr00614","In Love with the Gangster's Girl"
"tr00615","Institutional Apparel"
"tr00616","JerkWithAHeartOfGold"
"tr00617","Only a Flesh Wound"
"tr00618","Last Request"
"tr00619","Leave No Witnesses"
"tr00620","Pet the Dog"
"tr00621","Quick Nip"
"tr00622","Second Face Smoke"
"tr00623","Shoot Out the Lock"
"tr00624","Silent Movie"
"tr00625","Smoking Is Glamorous"
"tr00626","The Alcoholic"
"tr00627","The Guards Must Be Crazy"
"tr00628","The Plan"
"tr00629","The Smart Guy"
"tr00630","Unresolved Sexual Tension"
"tr00631","Unspoken Plan Guarantee"
"tr00632","What You Are in the Dark"
"tr00633","White Flag"
"tr00634","WingedTropes"
"tr00635","Bathroom Stall Graffiti"
"tr00636","Beta Couple"
"tr00637","BigDamnKiss"
"tr00638","City of Adventure"
"tr00639","Death by Woman Scorned"
"tr00640","Deconstructed Trope"
"tr00641","Driven to Suicide"
"tr00642","Dysfunction Junction"
"tr00643","Embarrassing Tattoo"
"tr00644","Escalating Brawl"
"tr00645","Fetch Quest"
"tr00646","Good Shepherd"
"tr00647","Happily Ever After"
"tr00648","Hard-Work Montage"
"tr00649","Hate Sink"
"tr00650","Hope Spot"
"tr00651","Introduction by Hookup"
"tr00652","Jerkass"
"tr00653","No Antagonist"
"tr00654","Nostalgia Filter"
"tr00655","Not-So-Safe Harbor"
"tr00656","Opening Narration"
"tr00657","Sinister Minister"
"tr00658","The Cynic"
"tr00659","The Masochism Tango"
"tr00660","The Piano Player"
"tr00661","What Did I Do Last Night?"
"tr00662","What Now? Ending"
"tr00663","Wretched Hive"
"tr00664","As You Know"
"tr00665","B-Movie"
"tr00666","Critic-Proof"
"tr00667","Deadly Euphemism"
"tr00668","Hollywood Darkness"
"tr00669","If I Can't Have You..."
"tr00670","Just Here for Godzilla"
"tr00671","Lame Pun Reaction"
"tr00672","Large Ham"
"tr00673","Of Corpse He's Alive"
"tr00674","Shadow Discretion Shot"
"tr00675","Take That!"
"tr00676","Talking Heads"
"tr00677","That Reminds Me of a Song"
"tr00678","Alpha Bitch"
"tr00679","Dances and Balls"
"tr00680","First Girl Wins"
"tr00681","Gaussian Girl"
"tr00682","Genteel Interbellum Setting"
"tr00683","Good Bad Girl"
"tr00684","Hypocrite"
"tr00685","Karma Houdini Warranty"
"tr00686","LoveInterest"
"tr00687","Meal Ticket"
"tr00688","My Girl Is Not a Slut"
"tr00689","Only Six Faces"
"tr00690","Playing Sick"
"tr00691","Quip to Black"
"tr00692","StarMakingRole"
"tr00693","Thematic Series"
"tr00694","20s Bob Haircut"
"tr00695","AdaptationDyeJob"
"tr00696","Black Gal on White Guy Drama"
"tr00697","CulturallySensitiveAdaptation"
"tr00698","Dastardly Whiplash"
"tr00699","Entitled to Have You"
"tr00700","Gorgeous Period Dress"
"tr00701","Happily Married"
"tr00702","Hidden Depths"
"tr00703","In-Universe"
"tr00704","Lazy Bum"
"tr00705","Minor Character, Major Song"
"tr00706","Nice Guy"
"tr00707","Not So Above It All"
"tr00708","Orbital Shot"
"tr00709","Parents as People"
"tr00710","Pass Fail"
"tr00711","Pretty in Mink"
"tr00712","Role-Ending Misdemeanor"
"tr00713","Sassy Black Woman"
"tr00714","ShowWithinAShow"
"tr00715","Stylistic Suck"
"tr00716","Sympathetic Murder Backstory"
"tr00717","The Musical"
"tr00718","The Musical Musical"
"tr00719","The Wicked Stage"
"tr00720","Token Minority Couple"
"tr00721","Vaudeville"
"tr00722","Walking Spoiler"
"tr00723","What, Exactly, Is His Job?"
"tr00724","White Male Lead"
"tr00725","Alcohol Hic"
"tr00726","AllGrownUpRemark"
"tr00727","Camp Gay"
"tr00728","Captain Obvious"
"tr00729","Cat Fight"
"tr00730","Discussed Trope"
"tr00731","Dumb Blonde"
"tr00732","IWantMyBelovedToBeHappy"
"tr00733","Incest Subtext"
"tr00734","Informed Flaw"
"tr00735","Love Dodecahedron"
"tr00736","No Celebrities Were Harmed"
"tr00737","Retronym"
"tr00738","Sex Sells"
"tr00739","Spear Carrier"
"tr00740","Speech Impediment"
"tr00741","The Ditz"
"tr00742","Thrifty Scot"
"tr00743","Tomboyish Name"
"tr00744","You're Just Jealous"
"tr00745","Action Pet"
"tr00746","BookEnds"
"tr00747","Chekhov's Gag"
"tr00748","Cue the Rain"
"tr00749","Dirty Coward"
"tr00750","Every Car Is a Pinto"
"tr00751","HeadTurningBeauty"
"tr00752","Job Title"
"tr00753","Naked People Trapped Outside"
"tr00754","Organ Grinder"
"tr00755","Slippery Swimsuit"
"tr00756","Stealing the Credit"
"tr00757","Stock Footage"
"tr00758","The Stateroom Sketch"
"tr00759","The Triads and the Tongs"
"tr00760","Tickertape Parade"
"tr00761","Asian Speekee Engrish"
"tr00762","Blackmail"
"tr00763","Blatant Lies"
"tr00764","Demoted to Extra"
"tr00765","Dragon Lady"
"tr00766","Fainting"
"tr00767","Inscrutable Oriental"
"tr00768","Karma Houdini"
"tr00769","LighterAndSofter"
"tr00770","Maligned Mixed Marriage"
"tr00771","Mighty Whitey and Mellow Yellow"
"tr00772","Opium Den"
"tr00773","Remake Cameo"
"tr00774","Villain Protagonist"
"tr00775","Villain with Good Publicity"
"tr00776","Yellow Peril"
"tr00777","Yellowface"
"tr00778","Adaptation Deviation"
"tr00779","Age Lift"
"tr00780","ArchEnemy"
"tr00781","Aristocrats Are Evil"
"tr00782","Benevolent Boss"
"tr00783","Black Sheep"
"tr00784","Blind and the Beast"
"tr00785","Break the Cutie"
"tr00786","Cheshire Cat Grin"
"tr00787","Corrupt Bureaucrat"
"tr00788","Dating What Daddy Hates"
"tr00789","Expy"
"tr00790","Freaky Is Cool"
"tr00791","Glasgow Grin"
"tr00792","GlasgowSmile"
"tr00793","Happily Ever Before"
"tr00794","Here We Go Again!"
"tr00795","Historical-Domain Character"
"tr00796","Humans Are Flawed"
"tr00797","Kids Are Cruel"
"tr00798","Lonely at the Top"
"tr00799","Modesty Towel"
"tr00800","Monster Clown"
"tr00801","Nightmare Fetishist"
"tr00802","Non-Human Sidekick"
"tr00803","Not Blood Siblings"
"tr00804","Only Sane Man"
"tr00805","Perpetual Smiler"
"tr00806","Punny Name"
"tr00807","Rage Against the Reflection"
"tr00808","Rags to Riches"
"tr00809","Sexless Marriage"
"tr00810","Short Story"
"tr00811","Sins of Our Fathers"
"tr00812","Slasher Smile"
"tr00813","Smart People Know Latin"
"tr00814","StarcrossedLovers"
"tr00815","Team Dad"
"tr00816","The Cutie"
"tr00817","The Glorious War of Sisterly Rivalry"
"tr00818","The Grotesque"
"tr00819","The Hedonist"
"tr00820","The Hero Dies"
"tr00821","The Noun Who Verbed"
"tr00822","Uptown Girl"
"tr00823","Adaptation Name Change"
"tr00824","Best Served Cold"
"tr00825","Darkest Africa"
"tr00826","Death by Despair"
"tr00827","Evil Cripple"
"tr00828","Evil Slinks"
"tr00829","Heel Realization"
"tr00830","Hollywood Natives"
"tr00831","Human Sacrifice"
"tr00832","Mama's Baby, Papa's Maybe"
"tr00833","Mighty Whitey"
"tr00834","Revealing Hug"
"tr00835","Revenge Through Corruption"
"tr00836","The Chessmaster"
"tr00837","The Film of the Play"
"tr00838","You No Take Candle"
"tr00839","Your Son All Along"
"tr00840","Blood from the Mouth"
"tr00841","Evil Colonialist"
"tr00842","Fade Out"
"tr00843","Greed"
"tr00844","Noble Savage"
"tr00845","Skinny Dipping"
"tr00846","The Black Death"
"tr00847","The Chief's Daughter"
"tr00848","Third-Person Person"
"tr00849","Widow's Weeds"
"tr00850","Worthless Yellow Rocks"
"tr00851","Catapult Nightmare"
"tr00852","Desperately Craves Affection"
"tr00853","Dude, She's Like, in a Coma!"
"tr00854","Establishing Character Moment"
"tr00855","Hunting Accident"
"tr00856","Ignore the Fanservice"
"tr00857","Married to the Job"
"tr00858","MayDecember Romance"
